split	drug_smiles	max_tanimoto_to_train	bucket	is_in_train
val	CN(C)CC#Cc1ccc2cc(-c3n[nH]c4cccnc34)[nH]c2c1	0.5789	[0.5, 0.7)	False
val	O=C(C[C@@H](NS(=O)(=O)c1ccc2ccccc2c1)c1ccccc1)NCc1ccc(CN2CCCCC2)cc1	0.6622	[0.5, 0.7)	False
val	Cc1cccc(-c2ccc(C(=O)N(C)Cc3cccc(O)c3)cc2)c1	0.4912	[0.3, 0.5)	False
val	Cc1ccc(Nc2ccc(S(C)(=O)=O)cc2[N+](=O)O)cc1F	0.4462	[0.3, 0.5)	False
val	O=C(O)c1ccnc(-n2nc(Cc3cc(Cl)cc(Cl)c3)cc2O)c1	1.0	[0.9, 1.0]	True
val	O=C(Nc1ccnc(C(F)(F)F)c1)c1cnn(-c2ccc(Cl)n3nccc23)c1C(F)(F)F	0.4051	[0.3, 0.5)	False
val	COC(=O)N[C@@H]1CCN(C(=O)c2nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s2)C1	0.4948	[0.3, 0.5)	False
val	Cc1cc(Nc2ncnc(-c3ccc(O[C@H]4CCN(C(=O)[C@@H](O)CO)C[C@H]4F)c(C#N)c3)n2)cnc1N1CCN(C2COC2)CC1	1.0	[0.9, 1.0]	True
val	CCCC[C@@H]1NC(=O)CC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCCN=C(N)N)NC1=O	1.0	[0.9, 1.0]	True
val	Cn1cc(-c2cnc3c(-c4csc(C(=O)N[C@@H]5CCCC[C@@H]5N)c4)cnn3c2)cn1	1.0	[0.9, 1.0]	True
val	CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NCC1CCS(=O)(=O)C1	0.39	[0.3, 0.5)	False
val	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	1.0	[0.9, 1.0]	True
val	Cc1nc(NC(=O)[C@H](C)N)sc1-c1cncc(NS(=O)(=O)c2ccccc2)c1	1.0	[0.9, 1.0]	True
val	CCN1CCN(Cc2ccc(NC(=O)CNc3ccc(-c4ccc(NC(=O)C5CC5)nc4)cc3)cc2C(F)(F)F)CC1	1.0	[0.9, 1.0]	True
val	NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Cl)cc4Cl)c3)ncnc12	1.0	[0.9, 1.0]	True
val	CN(C(=O)c1ccccc1)c1ccc2c(c1)nc(NC(=O)c1cccc3ccccc13)n2CCC(N)=O	0.8197	[0.7, 0.9)	False
val	CC(C)(O)c1cc2nn(C3CCNCC3)cc2cc1NC(=O)c1cccc(C(F)(F)F)n1	0.6667	[0.5, 0.7)	False
val	O=C(Nc1ccc2cc(CN3CCCC3)cnc2c1)c1ccc(-c2ccc(F)cc2)cc1	1.0	[0.9, 1.0]	True
val	CCN[C@@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21	0.6809	[0.5, 0.7)	False
val	O=C(Nc1nc2cc[nH]cc-2n1)c1cccc([N+](=O)[O-])c1	0.5179	[0.5, 0.7)	False
val	CC(C)NCc1ccc2ccc(Cl)c(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c2c1	1.0	[0.9, 1.0]	True
val	COCCCn1nc(C)c2c(C)cc([C@@H](C)N(C(=O)[C@H]3CNCCO3)C3CC3)cc21	0.2981	[0.0, 0.3)	False
val	CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)[C@@](C)(c1ccccc1)O2	0.5974	[0.5, 0.7)	False
val	COc1ccc(CNc2nc(NCC(C)(C)N)nc3c2cnn3C)cc1	0.4559	[0.3, 0.5)	False
val	Cc1cccc(NC(=O)c2ccc(Nc3nc(Nc4ccc(O)cc4)ncc3F)cc2)c1	0.65	[0.5, 0.7)	False
val	O=C(NC1CCC[C@@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1	1.0	[0.9, 1.0]	True
val	COC(=O)c1ccc(-c2nc3cc(Cc4cncc5cc(OC)c(OC)cc45)ccc3o2)cc1	0.4928	[0.3, 0.5)	False
val	CCC(=O)c1ccc(C(C)=O)c2sc(C(=O)Nc3cc(C(C)(C)O)c4ccccc4n3)c(C)c12	0.3214	[0.3, 0.5)	False
val	COC1CSSC1Cn1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21	0.7778	[0.7, 0.9)	False
val	COC(=O)C(NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)NCCN1CCOCC1	0.6477	[0.5, 0.7)	False
val	CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3[nH]cc(C)c3c2)c1F	0.7188	[0.7, 0.9)	False
val	Cc1ncc(-c2cc(-c3cc(S(=O)(=O)N[C@H]4CC[C@H](O)CC4)ccc3C)cnc2N)s1	1.0	[0.9, 1.0]	True
val	CCc1[nH]c(=O)c(Cc2cc3cc(OC)ccc3nc2NCC(F)(F)F)c2cc(OC)c(OC)cc12	0.3429	[0.3, 0.5)	False
val	Cn1cc(-c2cccc(-c3ncc(-c4cnn(C)c4)c(NC4CC5CCC4N5)n3)c2)cn1	0.6897	[0.5, 0.7)	False
val	O=c1nc(N2CCOCC2)cc(N(CCCCO)Cc2cccc3ccccc23)[nH]1	1.0	[0.9, 1.0]	True
val	Cc1nnc2sc(C(=O)NCc3ccc(-c4ccncc4)cc3)c(N)c2c1C	1.0	[0.9, 1.0]	True
val	Cc1cn2c(-c3cncnc3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(Cl)c2)n1	0.8	[0.7, 0.9)	False
val	CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1cccnc1F	0.4105	[0.3, 0.5)	False
val	Cc1ccc(NC(=O)c2cc(C(C)(C)C)on2)cc1-n1cc(-c2cncc(N3CCN(C)CC3)c2)nn1	0.5455	[0.5, 0.7)	False
val	Cc1cccc(NC(=O)Nc2ccc(-c3c(Cc4cccnc4)sc4ncnc(N)c34)cc2)c1	1.0	[0.9, 1.0]	True
val	CCCC(O)c1cncnc1Nc1ccc(F)cc1	1.0	[0.9, 1.0]	True
val	C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2c1ccon1	0.6226	[0.5, 0.7)	False
val	FC(F)(F)c1ccc(Nc2nc(NC3CC3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1	1.0	[0.9, 1.0]	True
val	CCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1OC	1.0	[0.9, 1.0]	True
val	CCC(C)CNC(=O)CC(O)C(CC(C)C)NC(=O)C(CCCC/N=C(/S)NC)NC(=O)C(Cc1cccc2ccccc12)Cc1cccc2ccccc12	1.0	[0.9, 1.0]	False
val	COc1ccc(OC)c(N(C)c2cnc3nc(N)nc(N)c3c2)c1	1.0	[0.9, 1.0]	True
val	COCCCn1cc(C)c2ccc([C@H](C)N(C(=O)[C@H]3CNCCN3)C3CC3)cc21	0.3069	[0.3, 0.5)	False
val	CCc1cc(NC(=O)N2CCc3cc(OC)c(C(F)(F)F)cc32)cc(-c2cccnc2)c1	0.8088	[0.7, 0.9)	False
val	O=c1[nH]c(CCc2nc(-c3ccccc3)c[nH]2)nc2ccccc12	0.5893	[0.5, 0.7)	False
val	Cc1ccccc1NC(=O)Nc1ccc(-c2c(C)sc3ncnc(N)c23)cc1	1.0	[0.9, 1.0]	True
val	Cc1sc(C(=O)c2cncnc2N[C@@H]2C[C@H](COS(N)(=O)=O)[C@@H](O)C2)cc1C1OCCc2ccc(Cl)cc21	1.0	[0.9, 1.0]	True
val	Cc1cc(=O)[nH]c(=O)n1/C(=N\O)c1ccc(Br)cc1	0.3548	[0.3, 0.5)	False
val	CCN(C(=O)[C@@H](C)N1CCOCC1)c1cnc2nc(-c3n[nH]c4c3C[C@@H]3C[C@]3(C)C4)[nH]c2c1	0.6628	[0.5, 0.7)	False
val	Cc1noc(-c2cc(-c3cc(S(=O)(=O)NCC(C)(C)O)ccc3C)cnc2N)n1	1.0	[0.9, 1.0]	True
val	CN1CCN([C@H]2CC[C@H](n3cc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)CC2)CC1	1.0	[0.9, 1.0]	True
val	O=C(N[C@@H]1CCCc2cc(CN3CCCCC3)ccc21)[C@H](O)[C@H](O)CS(=O)(=O)c1cccc(Cl)c1Cl	0.7639	[0.7, 0.9)	False
val	NC(=O)[C@]1(Cc2cncc(Nc3cc[nH]n3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1	0.5119	[0.5, 0.7)	False
val	NC(=O)c1nnc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)s1	1.0	[0.9, 1.0]	True
val	CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CSc1ncc2ccccn12	0.6774	[0.5, 0.7)	False
val	CCN1CCN(c2ncc3ncnc(Nc4cc(C(=O)Nc5ccc(OC)c(C(F)(F)F)c5)ccc4C)c3n2)CC1	0.4706	[0.3, 0.5)	False
val	O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O	1.0	[0.9, 1.0]	True
val	CC(=O)N1CCc2cc(-c3cncc4ccccc34)ccc21	1.0	[0.9, 1.0]	True
val	Nc1nc(N)c2nc(CN3c4ccccc4C=Cc4cc(OCC(=O)O)ccc43)cnc2n1	1.0	[0.9, 1.0]	True
val	CN1C(=O)c2sccc2N(C)c2nc(Nc3ccc(S(N)(=O)=O)cc3)ncc21	1.0	[0.9, 1.0]	True
val	COc1cc(-c2ccc3ncnc(Nc4ccc(S(N)(=O)=O)cc4)c3c2)ccc1O	0.6406	[0.5, 0.7)	False
val	CCc1c(C(=O)C(N)=O)c2c(OCC(C)=O)cccn2c1Cc1ccccc1-c1ccccc1	1.0	[0.9, 1.0]	True
val	CC(C)(O)C(=O)N1CCc2cc(Nc3ncc(C(F)(F)F)c(N[C@H]4CC[C@@H](N)CC4)n3)ccc2C1	1.0	[0.9, 1.0]	True
val	CCCS(=O)(=O)Nc1cccc(-c2[nH]c(C3CC3)nc2-c2ccnc(NC[C@H](C)NC(=O)OC)n2)c1F	0.4742	[0.3, 0.5)	False
val	O=C1Nc2ncc(/C=C/C(=O)N3CCC(COc4ccc(F)cc4)CC3)cc2CC1CO	0.3556	[0.3, 0.5)	False
val	OCc1cc(NCc2ccccc2)nc(N2CCOCC2)c1	0.66	[0.5, 0.7)	False
val	Cc1cc(Cl)c(NC(=O)c2cnn3ccc(-c4cn(CC5(O)CCOCC5)nc4C)cc23)cc1-c1nnn(C2CC2)n1	0.3608	[0.3, 0.5)	False
val	O=C(O)COc1ccc(SCc2cc(F)ccc2OCc2ccc(C(F)(F)F)cc2)c2c1CCC2	0.8852	[0.7, 0.9)	False
val	Cn1nc(C(=O)N(O)C2CCCCC2)c2c1-c1nc(NC3CCCC3)ncc1CC2	0.6061	[0.5, 0.7)	False
val	CN1C(=O)c2[nH]c(Cc3ccc(-c4ccccc4)cc3)nc2N2C1=N[C@@H]1CCC[C@@H]12	1.0	[0.9, 1.0]	True
val	CCCc1[nH]c(=O)c(Cc2cc3cc(OC)ccc3nc2CC)c2cc(OC)c(OC)cc12	0.375	[0.3, 0.5)	False
val	Cc1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)cc1CN/C(N)=N/S(=O)(=O)c1ccccc1	0.375	[0.3, 0.5)	False
val	CS(=O)(=O)CCc1cncc(-c2cnc3c(c2)CCCN3C(N)=O)c1	0.3333	[0.3, 0.5)	False
val	CO[C@H]1CCC2CCN3CCC4=C(CC(=O)OC4)[C@]23C1	0.5439	[0.5, 0.7)	False
val	O=C(O)c1ccnc(-c2cn(C3CCN(C(=O)c4ccccc4)CC3)nn2)c1	1.0	[0.9, 1.0]	True
val	O=CN(O)CC(Cc1ccccc1)C(=O)NCC(=O)NCc1ccccc1	0.7727	[0.7, 0.9)	False
val	Cc1ccn2[c+](c1)NCC(C(=O)c1ccc(-c3ccc(Br)cc3)cc1)C2	0.7692	[0.7, 0.9)	False
val	COc1ccc(NC(=O)Nc2cnc(Oc3ccnc(NC(=O)C4CC4)c3)c(C)c2)cc1C(F)(F)F	1.0	[0.9, 1.0]	True
val	CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccoc2)c1	1.0	[0.9, 1.0]	True
val	CC[C@H](NC(C)=O)c1cc(Cl)ccc1C1CCN(C(=O)[C@H]2CN(C(C)(C)C)C[C@@H]2c2ccc3ccccc3c2)CC1	1.0	[0.9, 1.0]	False
val	CC(N)CNC(=O)c1cc(-c2cccc([C@H](C)N)n2)cc2c1cnn2-c1cccc(CO)n1	0.3438	[0.3, 0.5)	False
val	CCOc1ccc(-c2ccc(CCCc3nn(-c4ccc(C(F)(F)F)cc4)c(=O)n3-c3ccc(C(F)(F)F)cc3)cc2)cc1CC(=O)O	1.0	[0.9, 1.0]	True
val	N#Cc1cc(-c2ncnc3[nH]c(-c4cncc(N)n4)cc23)ccc1OC1CCOCC1	1.0	[0.9, 1.0]	True
val	Cc1cc(C(C)Oc2ccccc2)c2oc(N3CCOCC3)nc(=O)c2c1	0.4925	[0.3, 0.5)	False
val	Cc1[nH]c2c(c1C(=O)N1CCOCC1)CCC/C2=C1/C(=O)Nc2ccc(F)cc21	1.0	[0.9, 1.0]	True
val	CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O	0.6754	[0.5, 0.7)	False
val	N#Cc1ccc(-c2cncc(CO)c2)cc1F	1.0	[0.9, 1.0]	True
val	Cc1ccc(-c2cc(CN/C(N)=N/S(=O)(=O)c3ccccc3)cnc2-c2ccc(Cl)cc2)cc1	0.3766	[0.3, 0.5)	False
val	COc1cc2ncccc2cc1NC(=O)c1csc2cnc(N(C)CCO)nc12	1.0	[0.9, 1.0]	True
val	O=C(c1ccc(O)cc1O)N1Cc2ccccc2C1	1.0	[0.9, 1.0]	True
val	Cc1cc2nc(N[C@@H](C)c3cncc(F)c3)nc(C(=O)N3CCCC3)c2s1	1.0	[0.9, 1.0]	True
val	COc1cc(-c2c[nH]c3ncc(-c4cccc(N)c4)cc23)cc(OC)c1OC	0.6471	[0.5, 0.7)	False
val	COC(=O)Nc1cc(NC(C)(C)C(=O)Nc2nc3ccc4[nH]ncc4c3s2)ccc1Cl	0.8438	[0.7, 0.9)	False
val	CCCn1cnc(-c2cc(C(=O)O)ccn2)c1-c1ccc(Cl)c(F)c1	0.6207	[0.5, 0.7)	False
val	CC(Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCc1ccccc1	1.0	[0.9, 1.0]	True
val	C[C@@H](NC(=O)c1nc(-c2ccc3cccnc3c2)c(-c2ccccc2)nc1N)c1ccccn1	0.4348	[0.3, 0.5)	False
val	COc1nc(-c2nc(Nc3cc(F)cc(C(F)(F)F)c3)n(C)n2)ccc1-n1cnc(C)c1	1.0	[0.9, 1.0]	True
val	CC(C)C[C@@H]1[C@@H](C(=O)N[C@@H](Cc2cscn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)[C@@H]1C(=O)N1CCOCC1	0.6484	[0.5, 0.7)	False
val	N#Cc1cncnc1N[C@@H]1C[C@@H]2COP(=O)(S)O[C@@H]3[C@H](O)[C@@H](COP(=O)(S)O[C@H]2C1)O[C@H]3n1cnc2c(=O)[nH]c(N)nc21	0.5673	[0.5, 0.7)	False
val	CC(=O)c1cccc(-c2cnc3ccc(-c4cccc(CO)c4)nn23)c1	0.5667	[0.5, 0.7)	False
val	O=C(Nc1cccnc1)c1c(Cl)ccc2c(Nc3cccc(C(F)(F)F)c3)noc12	0.85	[0.7, 0.9)	False
val	CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC1CC1	0.3333	[0.3, 0.5)	False
